"PrincipalComponents","CV_MSE","Best_Lambda","Size"
2,21.5901326662533,901.477631452492,0
3,21.415273723425,55557762.2239888,0
4,19.8504509671878,0.524468874949512,2
5,19.4238616021141,0.217438947560008,4
6,19.6398626856329,0.446323392671039,2
7,19.261015564884,0.456730127016874,2
8,19.6407156035527,0.320262069365765,4
9,19.6580306119893,0.292055551218275,5
10,19.8549504337528,0.619144175597784,3
11,19.161800734933,0.212484535249888,8
12,18.4281899994875,0.154592773641948,9
13,18.8739278889534,0.164898694447107,10
14,19.8968850563688,0.381576466127125,6
15,18.9266935137868,0.212484535249888,10
16,20.1274723445758,0.245126006203334,9
17,18.9535936766455,0.135248087041788,11
18,17.9321200837822,0.103996091395412,12
19,20.4435449833399,0.473887960971765,6
20,19.5574071889465,0.458840412645476,6
21,19.3003865810454,0.385110700232557,7
22,20.2999885355661,0.171883914281715,13
23,18.5686987694152,0.452538627817017,6
24,19.8998028773624,0.156024641436637,13
25,19.7595839130876,0.314410830314727,10
26,20.1346668384361,0.171093390726901,14
27,19.7218015198806,0.38333951017666,7
28,19.2332363314629,0.463090280179974,6
29,20.4008334410796,0.426215882901532,8
30,20.1952532576994,0.190230118866894,14
31,19.8558814978605,0.372882130718283,11
32,20.3379554188277,0.801500696156541,5
33,20.9350030052674,0.77248114514034,5
34,19.7955195681211,0.666536326812491,6
35,19.612749467985,0.616296625513294,7
36,19.4195065718015,0.549211648388779,7
37,21.0397165144467,0.704446227729904,6
38,19.6776310659544,0.678940681269611,6
39,20.7155690207599,0.704446227729904,6
40,20.9205935681079,0.747952251562182,5
41,20.3233721316355,0.654358601888323,6
42,20.5491757157129,0.685229159528406,6
43,19.8473766904723,0.797814457207663,4
44,20.0806371664771,0.724202233460732,5
45,19.3788355197404,0.675818116816111,6
46,19.9697019151556,0.657382014340959,6
47,19.6307523071406,0.717556091893693,5
48,19.520091671535,0.704446227729904,6
49,19.2350431177788,0.737679760252773,5
50,20.3703770060051,0.701206358900718,6
