"PrincipalComponents","CV_MSE","Best_Lambda","Size"
2,12.8291610505939,972.720319245054,0
3,13.0318431013011,1e+08,0
4,12.84059084734,1e+08,0
5,12.813892602815,972.720319245054,0
6,12.8217033622109,66041939.6233031,0
7,12.7123619366963,1e+08,0
8,12.8363874683214,941.833153464795,0
9,12.7946120061014,65738201.4340959,0
10,13.2698459233564,1e+08,0
11,12.780467793724,30866649.4333727,0
12,13.2270739300866,1e+08,0
13,12.9134138308608,66347081.2109235,0
14,12.6516954355997,66347081.2109235,0
15,12.81838340193,63650790.8129558,0
16,12.960369275035,941.833153464795,0
17,12.9701043413492,484.937406733523,0
18,12.8834850814195,66347081.2109235,0
19,12.648757772606,484.937406733523,0
20,12.8434533272654,972.720319245054,0
21,12.9567116502621,891.14823228402,0
22,12.6051004378177,920.373199661822,0
23,12.8701020319997,29749075.4721444,0
24,12.8474635736104,941.833153464795,0
25,12.8592433844288,60503678.7939123,0
26,12.6575241786161,1e+08,0
27,12.7344336308296,1e+08,0
28,12.7192952335696,933.189771573324,0
29,12.892096273131,972.720319245054,0
30,13.0826012566082,986.265846131282,0
31,12.6511675211335,1e+08,0
32,12.7227043227514,491.690357762803,0
33,12.936282965854,986.265846131282,0
34,12.9792833329598,115.096220088503,0
35,12.8886237559986,959.360828709315,0
36,12.7301946478128,1e+08,0
37,12.9154402056019,1e+08,0
38,12.9716422393964,1e+08,0
39,12.6946683580117,1e+08,0
40,12.8247086872842,986.265846131282,0
