"PrincipalComponents","CV_MSE","Best_Lambda"
2,18.9209208475057,61.4439104999838
3,7.7184866638322,62.8607904765809
4,9.71236905391786,29.6856973010485
5,7.56082173248929,100
6,6.25374375,100
7,9.22568125,61.1897484561414
8,18.4366820782943,62.7306442740827
9,11.9386564169186,61.4439104999839
10,11.787417750063,63.9117277354232
11,14.0039532879819,62.6007675246712
12,18.4110410304863,62.8607904765809
13,10.9730241465105,62.7306442740827
14,12.8790798185941,63.3840810154468
15,12.941660781998,63.121893478116
16,10.5206216553288,63.121893478116
17,14.2756649628917,0.452132292432156
18,19.6651280664746,0.35039222063109
19,6.99494220206601,100
20,8.6309026907766,0.59810533707119
21,6.58987615898211,100
22,18.5624523100907,100
23,17.0120172067901,61.5713871377699
24,16.6310785730033,63.7794056854331
25,20.1321298185941,62.7306442740827
26,3.43009112811791,63.3840810154468
27,7.59705850025196,63.121893478116
28,10.8666427169942,62.7306442740827
29,14.1809924193752,56.2050032804919
30,23.0519637345679,60.1835702664676
