"PrincipalComponents","CV_MSE","Best_Lambda"
2,21.4977191345271,85.7814413696372
3,17.4919692722681,48.2134619358581
4,27.3533247913083,1e-07
5,27.3007099335546,0.223941722055846
6,21.5527597628144,0.695799718044908
7,27.0017037649449,0.379103571406915
8,28.3832400096902,0.300571497304429
9,19.598159044724,0.0467376601919857
10,29.2786513897436,0.74505308741577
11,21.0611259109712,0.439201956845339
12,19.2663074363282,0.148565234132215
13,21.5204183048324,0.334081467921837
14,10.8369873070099,0.881240624249481
15,16.1408059000544,0.476176300713532
16,17.8167699763252,0.843708878445353
17,22.5328809034393,0.527074720607562
18,21.1091673947629,0.791206468152725
19,33.0684188729703,0.154212228052647
20,20.4931200750687,0.174632154634977
21,30.9267805108506,0.397612423881963
22,24.4228237810532,0.0725247179677565
23,30.3917175629585,0.263234030920558
24,16.3744015865667,0.444697621380704
25,14.6005879047161,0.7177704892187
26,16.7621117309458,47.519043119475
27,20.2124124540863,91.8536269531777
28,32.8698685212395,0.217537309748786
29,37.5041082445595,0.394329788617403
30,23.6150665153896,0.400092321006531
