"PrincipalComponents","CV_MSE","Best_Lambda"
2,7.71558145811654,100
3,7.7116627943614,1e-07
4,5.07788833896982,52.7074720607562
5,2.55157508499082,0.239297352515206
6,9.54983767696529,1e-07
7,7.64738351326743,98.3556425462425
8,5.01492698620869,0.25046086375736
9,5.46701422341935,0.089042010914926
10,3.02033095337174,0.0852497412128869
11,13.7156434209619,0.241289405742624
12,10.2522729448491,97.9487955384662
13,10.2946286200975,0.192100437007492
14,13.7365936069102,0.190909738520291
15,6.93644884267347,0.488167493501294
16,6.1817369092744,0.0685778110028307
17,6.55141384103939,0.259980930704415
18,5.32113937317899,0.16547099264003
19,5.08793503050966,0.489180286310892
20,6.50162766649323,97.9487955384662
21,10.8533335756079,0.0971401433157402
22,9.51509375,100
23,7.4966035900104,91.4736754596807
24,6.27457336493735,0.14491592444291
25,4.22071034977132,0.285986567057622
26,8.75725550858481,40.9318341841003
27,8.58559239771468,0.421368888154274
28,6.99855867837598,0.391074254352795
29,5.57440728799724,0.520561022961648
30,6.79167380360687,0.220259319657149
