"PrincipalComponents","CV_MSE","Best_Cost","Best_Gamma"
5,0.180555555555556,5.00666666666667,0.2
6,0.163888888888889,8.33777777777778,0.189478947368421
7,0.244444444444444,10.0033333333333,0.0211421052631579
8,0.201388888888889,10.0033333333333,0.0421842105263158
9,0.122222222222222,6.67222222222222,0.0316631578947369
10,0.119444444444444,15,0.0316631578947369
11,0.205555555555556,8.33777777777778,0.0316631578947369
12,0.206944444444444,3.34111111111111,0.0316631578947369
13,0.194444444444444,3.34111111111111,0.0421842105263158
14,0.236111111111111,13.3344444444444,0.0211421052631579
15,0.156944444444444,15,0.0211421052631579
16,0.143055555555556,8.33777777777778,0.0211421052631579
17,0.165277777777778,11.6688888888889,0.0106210526315789
18,0.152777777777778,13.3344444444444,0.0106210526315789
19,0.166666666666667,11.6688888888889,0.0106210526315789
20,0.144444444444444,13.3344444444444,0.0106210526315789
21,0.181944444444444,15,0.0106210526315789
22,0.202777777777778,13.3344444444444,0.0106210526315789
23,0.173611111111111,13.3344444444444,0.0106210526315789
24,0.218055555555556,13.3344444444444,0.0106210526315789
25,0.179166666666667,10.0033333333333,0.0106210526315789
26,0.205555555555556,10.0033333333333,0.0106210526315789
27,0.263888888888889,6.67222222222222,0.0106210526315789
28,0.230555555555556,15,0.0106210526315789
29,0.191666666666667,10.0033333333333,0.0106210526315789
30,0.229166666666667,10.0033333333333,0.0106210526315789
31,0.208333333333333,8.33777777777778,0.0106210526315789
32,0.263888888888889,11.6688888888889,0.0106210526315789
33,0.2625,15,0.0106210526315789
34,0.215277777777778,6.67222222222222,0.0106210526315789
35,0.252777777777778,8.33777777777778,0.0106210526315789
36,0.194444444444444,8.33777777777778,0.0106210526315789
37,0.218055555555556,13.3344444444444,0.0106210526315789
38,0.280555555555556,6.67222222222222,0.0106210526315789
39,0.252777777777778,13.3344444444444,0.0106210526315789
40,0.241666666666667,1.67555555555556,0.0106210526315789
41,0.245833333333333,6.67222222222222,0.0106210526315789
42,0.238888888888889,5.00666666666667,0.0106210526315789
43,0.238888888888889,6.67222222222222,0.0106210526315789
44,0.288888888888889,6.67222222222222,0.0106210526315789
45,0.265277777777778,15,0.0106210526315789
46,0.265277777777778,1.67555555555556,0.0106210526315789
47,0.279166666666667,5.00666666666667,0.0106210526315789
48,0.275,3.34111111111111,0.0106210526315789
49,0.247222222222222,3.34111111111111,0.0106210526315789
50,0.265277777777778,5.00666666666667,0.0106210526315789
