"PrincipalComponents","CV_MSE","Best_Cost"
15,0.204166666666667,0.111632653061224
16,0.191666666666667,0.111632653061224
17,0.159722222222222,0.46734693877551
18,0.168055555555556,0.264081632653061
19,0.144444444444444,0.365714285714286
20,0.193055555555556,0.924693877551021
21,0.181944444444444,0.162448979591837
22,0.180555555555556,1.02632653061225
23,0.158333333333333,1.6869387755102
24,0.116666666666667,0.924693877551021
25,0.119444444444444,0.568979591836735
26,0.143055555555556,0.264081632653061
27,0.143055555555556,0.213265306122449
28,0.152777777777778,1.12795918367347
29,0.166666666666667,0.264081632653061
30,0.154166666666667,0.264081632653061
31,0.155555555555556,0.619795918367347
32,0.179166666666667,0.213265306122449
33,0.184722222222222,0.518163265306123
34,0.191666666666667,0.162448979591837
35,0.156944444444444,0.162448979591837
36,0.120833333333333,0.264081632653061
37,0.143055555555556,0.264081632653061
38,0.15,0.314897959183674
39,0.130555555555556,0.314897959183674
40,0.144444444444444,0.162448979591837
41,0.156944444444444,0.213265306122449
42,0.183333333333333,0.111632653061224
43,0.180555555555556,0.162448979591837
44,0.144444444444444,0.213265306122449
45,0.144444444444444,0.314897959183674
46,0.119444444444444,0.213265306122449
47,0.144444444444444,0.213265306122449
48,0.179166666666667,0.416530612244898
49,0.193055555555556,0.162448979591837
50,0.169444444444444,0.0608163265306123
51,0.131944444444444,0.264081632653061
52,0.119444444444444,0.416530612244898
53,0.154166666666667,0.568979591836735
54,0.147222222222222,0.264081632653061
55,0.204166666666667,0.518163265306123
56,0.147222222222222,0.314897959183674
57,0.173611111111111,0.213265306122449
58,0.130555555555556,0.213265306122449
59,0.143055555555556,0.111632653061224
60,0.119444444444444,0.264081632653061
61,0.204166666666667,0.264081632653061
62,0.158333333333333,0.162448979591837
63,0.169444444444444,0.162448979591837
64,0.179166666666667,0.0608163265306123
65,0.120833333333333,0.0608163265306123
66,0.159722222222222,0.111632653061224
67,0.154166666666667,0.162448979591837
68,0.143055555555556,0.162448979591837
69,0.181944444444444,0.0608163265306123
70,0.120833333333333,0.314897959183674
71,0.144444444444444,0.518163265306123
72,0.195833333333333,0.213265306122449
73,0.143055555555556,0.314897959183674
74,0.166666666666667,0.0608163265306123
75,0.238888888888889,0.0608163265306123
76,0.168055555555556,0.0608163265306123
77,0.169444444444444,0.0608163265306123
78,0.168055555555556,0.162448979591837
79,0.169444444444444,0.162448979591837
80,0.155555555555556,0.162448979591837
