"id","num_scars","num_tattoos","num_other_marks"
"A62696",0,0,1
"A62709",1,0,0
"A62835",1,1,0
"A62838",0,5,0
"A62907",0,5,0
"A63018",0,4,0
"A63055",0,4,0
"A63057",2,2,0
"A63074",1,2,1
"A63079",0,4,0
"A63110",1,1,1
"A63227",1,0,0
"A63302",0,2,0
"A63323",1,1,0
"A63335",0,3,0
"A63412",2,2,0
"A63416",1,1,0
"A63465",1,3,0
"A63522",2,1,0
"A63557",2,0,1
"A63589",2,0,0
"A63633",0,5,0
"A63684",0,5,0
"A63742",0,0,1
"A63871",0,2,0
"A63882",1,0,0
"A63900",2,1,0
"A63927",2,0,0
"A64002",1,0,0
"A64004",0,0,1
"A64023",1,2,0
"A64030",1,3,0
"A64086",1,2,0
"A64188",1,0,2
"A64206",3,0,0
"A64229",3,1,0
"A64235",3,0,0
"A64246",1,0,0
"A64284",0,1,0
"A64313",1,3,0
"A64333",2,0,0
"A64349",0,0,1
"A64363",0,0,1
"A66045",1,0,0
"A66171",2,0,0
"A66229",1,0,0
"A66267",3,0,0
"A66271",1,4,0
"A66320",1,2,0
"A66400",2,2,0
"A66460",0,0,1
"A66464",0,1,0
"A66488",1,3,0
"A66507",1,0,0
"A67856",0,5,0
"A67942",3,0,0
"A68069",1,0,0
"A68106",4,0,1
"A68230",2,3,0
"A68344",1,0,0
"A68363",1,4,0
"A68398",2,2,0
"A68418",0,5,0
"A68566",0,2,0
"A68643",0,0,1
"A68647",0,5,0
"A68718",3,1,1
"A68728",0,5,0
"A68809",0,3,0
"A68864",1,3,0
"A68998",0,5,0
"A69036",2,0,0
"A69051",2,3,0
"A69085",0,2,1
"A70164",1,1,0
"A70170",1,0,0
"A70187",0,1,0
"A70206",0,1,0
"A70208",0,2,0
"A70223",0,0,1
"A70269",4,1,0
"A70296",0,3,0
"A70343",1,0,0
"A70453",0,0,1
"A70454",1,0,0
"A70470",0,5,0
"A70481",2,0,0
"A70554",3,1,0
"A70562",0,3,0
"A70571",0,0,1
"A70618",0,2,0
"A70631",0,1,0
"A70646",1,2,0
"A70703",0,0,2
"A70723",0,4,0
"A70764",0,5,0
"A70777",0,2,0
"A70866",2,2,0
"A70869",0,5,0
"A70889",1,1,0
"A70902",0,2,0
"A70905",0,0,1
"A70975",0,3,0
"A70978",0,2,0
"A70983",0,1,0
"A70990",0,0,1
"A70998",1,2,0
"A71033",1,2,0
"A71068",1,4,0
"A71082",0,0,1
"A71170",4,0,0
"A71250",1,3,0
"A71259",2,0,0
"A71264",1,1,1
"A71350",0,4,0
"A71362",0,3,0
"A71429",0,0,1
"A71437",4,1,0
"A71467",2,1,0
"A71517",2,1,0
"A71530",1,4,0
"A71537",0,1,0
"A71641",2,0,0
"A71662",0,0,1
"A71709",0,4,0
"A71724",0,0,1
"A71739",0,2,0
"A71810",1,1,0
"A71812",0,3,0
"A71818",0,2,0
"A71904",1,0,0
"A71978",0,0,1
"A72030",0,3,0
"A72037",1,3,0
"A72063",3,0,0
"A72077",1,2,0
"A72086",0,0,1
"A72098",1,2,0
"A72103",3,2,0
"A72120",1,3,0
"A72149",0,2,0
"A72159",2,2,0
"A72194",0,5,0
"A72308",1,2,0
"A72335",0,1,0
"A72502",1,1,0
"A72503",1,2,0
"A72531",1,3,0
"A72590",1,4,0
"A72640",0,3,0
"A72649",0,2,0
"A72655",2,1,0
"A72676",0,3,0
"A72823",0,0,1
"A72830",1,4,0
"A72922",0,1,0
"A72965",1,4,0
"A73023",0,5,0
"A73059",1,3,1
"A73078",0,0,1
"A73099",0,2,0
"A73184",0,0,1
"A73193",0,0,1
"A73327",1,4,0
"A73335",0,1,0
"A73403",1,1,0
"A73437",0,5,0
"A73452",1,3,0
"A73489",0,2,0
"A73498",1,1,0
"A73504",1,0,1
"A73555",0,5,0
"A73587",0,1,0
"A73626",1,4,0
"A73639",0,0,1
"A73673",0,5,0
"A73679",0,0,1
"A73734",0,2,0
"A73738",2,0,0
"A73756",1,4,0
"A73764",0,4,0
"A73769",0,0,1
"A73818",2,0,0
"A73846",1,2,0
"A73865",1,0,0
"A73943",3,2,0
"A74022",0,5,0
"A74048",0,2,0
"A74099",1,4,0
"A74128",3,0,0
"A74131",3,2,0
"A74143",0,0,1
"A74146",0,0,1
"A74207",0,1,0
"A74220",0,3,0
"A76000",0,5,0
"A76082",0,0,1
"A76086",1,3,0
"A76117",0,1,0
"A76118",2,2,0
"A76140",0,0,1
"A76273",1,0,0
"A76278",0,4,0
"A76285",0,2,0
"A77022",3,0,1
"A77521",0,2,0
"A77551",0,0,1
"A77585",0,1,0
"A77600",1,1,0
"A77652",0,0,1
"A77719",0,5,0
"A77744",0,1,0
"A77854",0,5,0
"A77883",0,5,0
"A77912",0,5,0
"A77947",1,1,0
"A78002",0,3,0
"A78072",3,0,1
"A78111",3,1,1
"A78128",2,3,0
"A78222",2,2,0
"A78301",2,2,0
"A78306",0,3,0
"A78488",1,4,0
"A78522",4,0,0
"A78639",0,4,0
"A80048",3,0,0
"A80094",0,4,0
"A80123",0,4,0
"A80194",0,2,0
"A80196",1,0,0
"A80201",2,2,0
"A80204",1,2,0
"A80212",0,0,1
"A80215",0,0,1
"A80221",0,0,1
"A80252",0,5,0
"A80254",0,4,0
"A80264",1,4,0
"A80360",0,2,0
"A80442",2,3,0
"A80477",0,3,0
"A80517",1,4,0
"A80528",0,1,0
"A80529",0,5,0
"A80533",0,5,0
"A80568",2,0,1
"A80582",0,4,0
"A80609",0,1,0
"A80610",3,0,0
"A80640",0,1,0
"A80665",0,0,1
"A80675",2,1,0
"A80693",2,0,0
"A80710",0,3,0
"A80761",2,2,0
"A80811",1,2,0
"A80814",0,1,0
"A80834",0,0,1
"A80915",0,2,0
"A80929",0,2,0
"A81024",0,1,0
"A81091",3,0,0
"A81099",2,0,0
"A81100",0,4,0
"A81126",1,2,0
"A81135",0,1,0
"A81170",0,0,1
"A81377",0,0,1
"A81381",1,0,0
"A81401",3,0,0
"A81442",2,1,0
"A81444",0,1,0
"A81457",0,5,0
"A81553",0,5,0
"A81563",1,1,0
"A81574",1,4,0
"A81630",0,5,0
"A81636",0,3,0
"A81652",0,0,1
"A81692",0,0,1
"A81704",0,2,0
"A81716",1,1,0
"A81754",0,1,0
"A81775",1,0,1
"A81779",2,1,0
"A81783",0,4,0
"A81795",0,1,1
"A81804",1,2,0
"A81811",0,3,0
"A81850",3,0,0
"A81855",0,0,1
"A81889",0,1,0
"A81893",0,5,0
"A81921",0,2,0
"A81938",1,3,1
"A81991",0,1,0
"A82017",0,1,0
"A82077",1,0,0
"A82091",0,4,0
"A82092",2,0,0
"A82134",0,0,1
"A82169",0,5,0
"A82180",0,5,0
"A82195",1,3,0
"A82197",1,4,0
"A82254",2,0,0
"A82291",2,3,0
"A82300",0,3,0
"A82318",4,1,0
"A82333",1,4,0
"A82357",0,2,0
"A82405",0,5,0
"A82455",0,3,0
"A82458",0,1,0
"A82498",2,1,0
"A82509",1,1,0
"A82547",2,0,0
"A82558",0,1,0
