"num_terms","RMSE"
1,16.724224661937
2,15.6483583709449
3,14.9895383177383
4,14.6503984982586
5,14.5271837682736
6,14.4899764274836
7,14.4615626967101
8,14.4612856332412
9,14.4502941341315
10,14.4490993464219
11,14.4447828088744
12,14.4384839367239
13,14.4319184704848
14,14.4283155766046
15,14.4280769150946
16,14.4241674605796
