"PrincipalComponents","CV_MSE_polySVM","Best_Cost_polySVM","Best_Degree"
2,0.448611111111111,0.00739473684210526,3
3,0.375,1.06157894736842,1
4,0.252777777777778,10,4
5,0.206944444444444,1.58736842105263,1
6,0.218055555555556,1.58736842105263,1
7,0.240277777777778,1.06157894736842,1
8,0.240277777777778,1.58736842105263,3
9,0.229166666666667,1.58736842105263,3
10,0.230555555555556,2.11315789473684,3
11,0.236111111111111,6.84526315789474,1
12,0.241666666666667,1.06157894736842,3
13,0.190277777777778,1.06157894736842,1
14,0.155555555555556,3.16473684210526,1
15,0.202777777777778,4.21631578947368,1
16,0.156944444444444,8.94842105263158,1
17,0.131944444444444,6.84526315789474,1
18,0.148611111111111,5.26789473684211,1
19,0.143055555555556,5.26789473684211,1
20,0.145833333333333,4.21631578947368,1
21,0.144444444444444,9.47421052631579,1
22,0.168055555555556,5.26789473684211,1
23,0.166666666666667,62.1052631578947,1
24,0.168055555555556,5.26789473684211,1
25,0.145833333333333,9.47421052631579,1
26,0.169444444444444,9.47421052631579,1
27,0.179166666666667,8.42263157894737,1
28,0.166666666666667,7.89684210526316,1
29,0.152777777777778,8.42263157894737,1
30,0.168055555555556,6.31947368421053,1
31,0.143055555555556,6.84526315789474,1
32,0.170833333333333,7.37105263157895,1
33,0.181944444444444,9.47421052631579,1
34,0.170833333333333,6.84526315789474,1
35,0.193055555555556,5.26789473684211,1
36,0.152777777777778,8.42263157894737,1
37,0.165277777777778,4.7421052631579,1
38,0.183333333333333,8.42263157894737,1
39,0.229166666666667,10,1
40,0.125,6.84526315789474,1
41,0.131944444444444,5.79368421052632,1
42,0.141666666666667,7.37105263157895,1
43,0.144444444444444,9.47421052631579,1
44,0.158333333333333,7.37105263157895,1
45,0.186111111111111,7.89684210526316,1
46,0.156944444444444,8.42263157894737,1
47,0.168055555555556,9.47421052631579,1
48,0.106944444444444,7.89684210526316,1
49,0.183333333333333,5.26789473684211,1
50,0.213888888888889,4.21631578947368,1
51,0.179166666666667,5.79368421052632,1
52,0.158333333333333,9.47421052631579,1
53,0.159722222222222,3.16473684210526,1
54,0.169444444444444,7.89684210526316,1
55,0.197222222222222,8.42263157894737,1
56,0.190277777777778,4.7421052631579,1
57,0.179166666666667,4.7421052631579,1
58,0.143055555555556,6.84526315789474,1
59,0.158333333333333,2.63894736842105,1
60,0.168055555555556,3.69052631578947,1
61,0.156944444444444,5.79368421052632,1
62,0.159722222222222,3.69052631578947,1
63,0.193055555555556,6.84526315789474,1
64,0.193055555555556,3.16473684210526,1
65,0.165277777777778,7.89684210526316,1
66,0.195833333333333,5.79368421052632,1
67,0.158333333333333,4.21631578947368,1
68,0.193055555555556,8.42263157894737,1
69,0.144444444444444,9.47421052631579,1
70,0.131944444444444,6.31947368421053,1
71,0.176388888888889,7.37105263157895,1
72,0.172222222222222,7.37105263157895,1
73,0.226388888888889,4.21631578947368,1
74,0.166666666666667,6.31947368421053,1
75,0.209722222222222,4.7421052631579,1
76,0.184722222222222,9.47421052631579,1
77,0.168055555555556,8.94842105263158,1
78,0.190277777777778,3.16473684210526,1
79,0.155555555555556,6.31947368421053,1
80,0.169444444444444,8.94842105263158,1
