"PrincipalComponents_linSVM","CV_MSE_linSVM","Best_Cost"
10,0.226388888888889,2.575
11,0.254166666666667,2.9875
12,0.256944444444444,1.3375
13,0.213888888888889,1.75
14,0.170833333333333,1.75
15,0.218055555555556,0.0573684210526316
16,0.183333333333333,0.925
17,0.193055555555556,0.5125
18,0.154166666666667,0.925
19,0.158333333333333,0.5125
20,0.165277777777778,0.5125
21,0.169444444444444,5.05
22,0.129166666666667,7.9375
23,0.119444444444444,0.5125
24,0.118055555555556,1.75
25,0.119444444444444,0.925
26,0.191666666666667,0.5125
27,0.186111111111111,0.5125
28,0.154166666666667,1.3375
29,0.120833333333333,0.5125
30,0.133333333333333,0.5125
31,0.177777777777778,0.925
32,0.184722222222222,0.5125
33,0.180555555555556,8.35
34,0.181944444444444,0.0573684210526316
35,0.240277777777778,0.0905263157894737
36,0.191666666666667,0.0573684210526316
37,0.144444444444444,0.5125
38,0.145833333333333,0.5125
39,0.147222222222222,0.5125
40,0.147222222222222,0.0715789473684211
41,0.169444444444444,0.925
42,0.190277777777778,0.1
43,0.248611111111111,0.0763157894736842
44,0.183333333333333,0.5125
45,0.205555555555556,0.0763157894736842
46,0.165277777777778,0.5125
47,0.119444444444444,0.5125
48,0.219444444444444,0.0810526315789474
49,0.181944444444444,0.5125
50,0.190277777777778,0.5125
51,0.155555555555556,0.5125
52,0.169444444444444,0.5125
53,0.191666666666667,0.5125
54,0.191666666666667,0.0526315789473684
55,0.156944444444444,0.5125
56,0.133333333333333,0.5125
57,0.184722222222222,1.3375
58,0.2375,0.5125
59,0.141666666666667,0.0905263157894737
60,0.168055555555556,0.0621052631578947
61,0.172222222222222,0.038421052631579
62,0.190277777777778,0.038421052631579
63,0.183333333333333,0.0431578947368421
64,0.194444444444444,0.5125
65,0.155555555555556,0.0763157894736842
66,0.1625,0.0905263157894737
67,0.179166666666667,0.0526315789473684
68,0.172222222222222,0.0526315789473684
69,0.180555555555556,0.925
70,0.190277777777778,0.0715789473684211
71,0.169444444444444,0.0621052631578947
72,0.169444444444444,0.0336842105263158
73,0.156944444444444,0.0810526315789474
74,0.206944444444444,0.0810526315789474
75,0.201388888888889,0.0289473684210526
76,0.155555555555556,0.1
77,0.216666666666667,0.5125
78,0.194444444444444,0.0478947368421053
79,0.233333333333333,0.0478947368421053
80,0.204166666666667,0.5125
